cliente_id,nombre,apellido,email,fecha_registro
1,Janet,Norris,janet.norris1@example.com,31/10/2021 20:49
2,Michael,Jones,michael.jones2@example.com,11/07/2022 16:21
3,Donna,Nelson,donna.nelson3@example.com,27/03/2022 14:02
4,Gregory,Gross,gregory.gross4@example.com,15/05/2024 20:47
5,Herbert,Davis,herbert.davis5@example.com,10/02/2022 16:18
6,Danielle,Clarke,danielle.clarke6@example.com,01/06/2020 11:17
7,Christian,Martin,christian.martin7@example.com,19/05/2021 18:11
8,Annette,Hartman,annette.hartman8@example.com,21/11/2021 08:57
9,Tim,Cabrera,tim.cabrera9@example.com,26/12/2023 16:50
10,Catherine,Holmes,catherine.holmes10@example.com,29/12/2020 07:06
11,Michael,Yates,michael.yates11@example.com,16/03/2020 00:18
12,Bobby,Anderson,bobby.anderson12@example.com,01/10/2020 07:16
13,Leslie,Ball,leslie.ball13@example.com,02/12/2024 21:50
14,Mark,Mendoza,mark.mendoza14@example.com,23/05/2021 14:49
15,Sarah,Good,sarah.good15@example.com,03/12/2020 14:44
16,Anthony,Stanley,anthony.stanley16@example.com,12/06/2024 03:00
17,Katherine,Stephenson,katherine.stephenson17@example.com,01/08/2023 19:11
18,Sara,Carson,sara.carson18@example.com,19/03/2022 12:50
19,Jennifer,Dunn,jennifer.dunn19@example.com,04/01/2022 13:29
20,Christine,Floyd,christine.floyd20@example.com,13/02/2023 06:46
21,Jennifer,Brown,jennifer.brown21@example.com,30/06/2025 11:33
22,Michael,Stout,michael.stout22@example.com,02/11/2024 04:30
23,Bruce,Jenkins,bruce.jenkins23@example.com,06/04/2020 22:32
24,Wendy,Hendrix,wendy.hendrix24@example.com,25/06/2023 20:28
25,Travis,Montoya,travis.montoya25@example.com,07/05/2024 07:40
26,Mitchell,Kelly,mitchell.kelly26@example.com,11/01/2024 22:11
27,Veronica,Knight,veronica.knight27@example.com,29/12/2023 06:08
28,Charles,Kelley,charles.kelley28@example.com,07/03/2023 21:16
29,Veronica,Caldwell,veronica.caldwell29@example.com,27/01/2021 07:59
30,James,Howard,james.howard30@example.com,05/08/2021 19:34
31,Jonathan,Sanders,jonathan.sanders31@example.com,10/12/2022 12:49
32,Alexander,Johnson,alexander.johnson32@example.com,16/05/2021 03:12
33,William,Banks,william.banks33@example.com,20/09/2023 07:02
34,Gary,Evans,gary.evans34@example.com,22/09/2020 15:41
35,Gary,Hays,gary.hays35@example.com,18/06/2021 14:07
36,Kayla,Pierce,kayla.pierce36@example.com,13/02/2022 12:25
37,Michelle,Price,michelle.price37@example.com,10/05/2022 22:18
38,Regina,Jones,regina.jones38@example.com,29/11/2022 23:42
39,Jennifer,Mccoy,jennifer.mccoy39@example.com,28/07/2020 09:50
40,Isabel,Burns,isabel.burns40@example.com,06/01/2025 22:18
41,Christopher,Morales,christopher.morales41@example.com,21/04/2021 20:33
42,Samantha,Wright,samantha.wright42@example.com,25/01/2022 18:53
43,Brittany,Carroll,brittany.carroll43@example.com,19/06/2023 01:51
44,Christopher,Moore,christopher.moore44@example.com,28/05/2022 04:36
45,Gina,Brown,gina.brown45@example.com,08/09/2022 06:57
46,April,Gonzalez,user8@example.com,18/03/2020 20:16
47,Colton,Collins,user9@example.com,07/08/2024 16:15
48,Joseph,Yang,user10@example.com,18/07/2023 14:40
49,Michelle,Logan,user11@example.com,09/08/2022 02:50
50,Mary,Pollard,user12@example.com,09/04/2022 03:11
51,Gail,Harris,user13@example.com,04/01/2020 15:40
52,Lauren,Fletcher,user14@example.com,01/04/2022 06:17
53,Alan,Liu,user15@example.com,28/10/2022 10:55
54,Douglas,Williams,user16@example.com,05/03/2022 22:02
55,Daniel,Smith,user17@example.com,26/10/2022 06:22
